"Participant.Public.ID","Participant.Private.ID","country","MT","GMS","MS","EE","MR","SM","SR","BMRQ","gender","age"
"ph77cheh","10620384","chinese",29,100,17,19,19,19,16,90,"1",25
"pjfrae87","10377737","denmark",14,42,13,19,17,17,13,79,"2",27
"pkypstmb","10292493","denmark",13,42,13,16,17,16,14,76,"2",24
"q17cpkp1","10623958","denmark",47,111,17,20,19,18,19,93,"1",25
"q750q9qh","10701268","denmark",21,74,14,18,16,14,16,78,"2",22
"qcbzcdtz","10495515","denmark",32,87,15,20,20,20,20,95,"2",20
"qu52ot0x","10610380","denmark",13,52,10,15,15,13,16,69,"1",39
"qxhhsyze","10757193","chinese",20,91,19,20,17,19,18,93,"1",22
"qyt42jh8","10620789","chinese",12,56,17,19,17,19,16,88,"2",30
"r10r5355","10756100","chinese",27,83,18,16,18,20,18,90,"1",20
"r6afv8e6","10391317","denmark",7,41,7,11,11,16,10,55,"1",31
"r6o4dcaq","10446320","denmark",21,79,13,17,11,17,16,74,"2",21
"r6yvjtr3","10693773","chinese",27,95,19,17,17,17,19,89,"1",21
"rc07cfr4","10615377","chinese",31,104,18,20,19,18,19,94,"2",21
"rd3mxqhj","10693409","denmark",10,46,10,16,17,19,10,72,"1",24
"rdkrptvx","10748464","chinese",27,84,20,18,19,18,18,93,"2",21
"rjsmlkbp","10627726","denmark",31,102,18,20,19,20,20,97,"2",27
"ru7rgbsy","10415796","denmark",44,112,18,17,20,18,19,92,"2",23
"s2hupvg9","10747823","chinese",29,111,19,19,17,19,20,94,"1",22
"s472kaiz","10615519","chinese",28,77,14,18,15,15,17,79,"1",23
"s71qcm2l","10746379","chinese",18,74,16,19,12,18,16,81,"1",21
"scau2cfs","10615397","chinese",29,94,16,18,18,16,17,85,"1",20
"se675twb","10615467","chinese",12,57,18,20,17,16,17,88,"2",22
"sm6y0z0h","10345658","denmark",28,90,12,15,19,14,14,74,"2",26
"suxqn0mw","10695583","denmark",22,66,12,18,19,17,15,81,"2",23
"t5zn7nvd","10747836","chinese",24,84,17,18,18,18,17,88,"2",20
"t7zj7gx3","10745076","chinese",24,73,16,18,17,19,16,86,"1",22
"u38i920s","10620266","chinese",15,76,19,20,15,19,18,91,"1",22
"ufr6k3bs","10696875","denmark",21,36,12,15,9,8,9,53,"1",26
"utfhovs3","10555623","denmark",24,81,18,20,15,19,20,92,"1",35
"uufxunjt","10519926","denmark",18,44,12,16,17,18,15,78,"2",22
"ux7600ha","10756109","chinese",28,84,17,18,19,18,17,89,"1",21
"v007mc3w","10745355","chinese",22,77,16,17,17,17,16,83,"1",25
"v4uvyfek","10484589","denmark",7,30,10,11,10,18,12,61,"2",28
"vivk94td","10615476","chinese",25,77,16,16,12,17,16,77,"1",23
"vrcnyevd","10615499","chinese",24,88,18,18,14,19,18,87,"1",22
"vv4byzxd","10470638","denmark",23,95,19,20,19,20,19,97,"2",24
"vvgo2x9d","10615362","chinese",23,83,18,20,15,15,18,86,"1",22
"vzz3hq5o","10745009","chinese",25,80,17,19,16,17,19,88,"1",23
"vzz8ac56","10748656","chinese",15,73,16,18,18,17,18,87,"2",21
"w7lg2t60","10755904","chinese",27,85,18,19,17,17,16,87,"1",21
"w86hqr6l","10327289","denmark",7,45,15,15,16,19,14,79,"1",21
"wat3eo5h","10435897","denmark",8,37,13,16,14,13,17,73,"1",26
"wbhsi6qp","10495811","denmark",35,93,13,17,12,14,15,71,"2",22
"wbycc0x3","10322714","denmark",33,70,4,13,15,12,8,52,"2",28
"wedir472","10615312","chinese",23,81,17,16,18,17,16,84,"2",20
"wlzm73xh","10748267","chinese",13,66,17,18,18,18,17,88,"2",23
"wn2ms4r3","10289423","denmark",42,97,15,18,17,17,17,84,"2",22
"wnj6of55","10756672","chinese",24,90,19,20,16,19,18,92,"1",22
"x6qflhsm","10615390","chinese",35,101,16,18,19,20,20,93,"1",20
"xf4x8838","10615457","chinese",23,87,18,19,17,16,16,86,"1",21
"xfohvwc2","10615445","chinese",31,106,17,17,19,19,19,91,"1",22
"xuhhp9e2","10353631","denmark",22,86,16,16,17,16,19,84,"2",27
"y1eypor8","10615425","chinese",15,65,14,18,19,19,16,86,"1",25
"y69w3ntn","10694443","denmark",7,42,12,16,17,15,14,74,"2",33
"y6hj6rd1","10755905","chinese",27,86,18,18,17,19,18,90,"1",20
"yf4nzz0b","10615506","chinese",26,76,15,17,16,17,16,81,"1",25
"yfuvyjfn","10698703","denmark",39,100,17,13,19,18,14,81,"2",28
"yvmxbd8a","10615373","chinese",35,102,19,20,20,20,19,98,"1",21
"zlm7ezbc","10635092","denmark",12,69,16,20,18,20,15,89,"2",25
"zurc09zq","10615464","chinese",15,59,15,19,16,19,18,87,"1",19
