Participant.Public.ID,Participant.Private.ID,Spreadsheet..audiofile,Rhythm,Harmony,Trial.Number.x,Display.x,groove,Trial.Number.y,Display.y,pleasure
3cfrzjo6,10616185,HR1_LH3.mp3,4,2,15,trial,48,9,trial,61
3cfrzjo6,10616185,HR1_MH2.mp3,4,3,10,trial,68,10,trial,62
3cfrzjo6,10616185,HR1_Oct.mp3,4,1,7,trial,57,11,trial,60
3cfrzjo6,10616185,Iso_HH3.mp3,1,4,16,trial,60,8,trial,68
3cfrzjo6,10616185,Iso_LH3.mp3,1,2,3,trial,73,4,trial,60
3cfrzjo6,10616185,Iso_MH2.mp3,1,3,5,trial,87,14,trial,63
3cfrzjo6,10616185,Iso_Oct.mp3,1,1,13,trial,63,6,trial,59
3cfrzjo6,10616185,LR3_HH3.mp3,2,4,6,trial,87,16,trial,60
3cfrzjo6,10616185,LR3_LH3.mp3,2,2,11,trial,67,15,trial,63
3cfrzjo6,10616185,LR3_MH2.mp3,2,3,2,trial,68,5,trial,61
3cfrzjo6,10616185,LR3_Oct.mp3,2,1,12,trial,65,1,trial,56
3cfrzjo6,10616185,MR1_HH3.mp3,3,4,8,trial,71,13,trial,64
3cfrzjo6,10616185,MR1_LH3.mp3,3,2,9,trial,65,3,trial,66
3cfrzjo6,10616185,MR1_MH2.mp3,3,3,14,trial,45,7,trial,65
3cfrzjo6,10616185,MR1_Oct.mp3,3,1,1,trial,84,2,trial,53
3gyrja1q,10748379,HR1_HH3.mp3,4,4,13,trial,72,7,trial,71
3gyrja1q,10748379,HR1_LH3.mp3,4,2,5,trial,77,5,trial,64
3gyrja1q,10748379,HR1_MH2.mp3,4,3,4,trial,78,10,trial,35
3gyrja1q,10748379,HR1_Oct.mp3,4,1,14,trial,68,8,trial,68
3gyrja1q,10748379,Iso_HH3.mp3,1,4,9,trial,72,6,trial,77
3gyrja1q,10748379,Iso_LH3.mp3,1,2,8,trial,72,14,trial,79
3gyrja1q,10748379,Iso_MH2.mp3,1,3,10,trial,69,13,trial,74
3gyrja1q,10748379,Iso_Oct.mp3,1,1,2,trial,81,12,trial,78
3gyrja1q,10748379,LR3_HH3.mp3,2,4,15,trial,25,3,trial,72
3gyrja1q,10748379,LR3_LH3.mp3,2,2,6,trial,67,11,trial,81
3gyrja1q,10748379,LR3_MH2.mp3,2,3,1,trial,78,2,trial,32
3gyrja1q,10748379,LR3_Oct.mp3,2,1,3,trial,72,16,trial,80
3gyrja1q,10748379,MR1_HH3.mp3,3,4,16,trial,68,1,trial,74
3gyrja1q,10748379,MR1_LH3.mp3,3,2,11,trial,74,15,trial,73
3gyrja1q,10748379,MR1_MH2.mp3,3,3,7,trial,72,9,trial,84
3gyrja1q,10748379,MR1_Oct.mp3,3,1,12,trial,73,4,trial,73
3nion908,10615496,HR1_HH3.mp3,4,4,6,trial,31,2,trial,35
3nion908,10615496,HR1_LH3.mp3,4,2,13,trial,33,10,trial,32
3nion908,10615496,HR1_MH2.mp3,4,3,14,trial,50,11,trial,42
3nion908,10615496,HR1_Oct.mp3,4,1,8,trial,40,6,trial,38
3nion908,10615496,Iso_HH3.mp3,1,4,3,trial,51,3,trial,36
3nion908,10615496,Iso_LH3.mp3,1,2,2,trial,51,5,trial,43
3nion908,10615496,Iso_MH2.mp3,1,3,4,trial,50,13,trial,43
3nion908,10615496,Iso_Oct.mp3,1,1,1,trial,50,9,trial,51
3nion908,10615496,LR3_HH3.mp3,2,4,7,trial,63,4,trial,33
3nion908,10615496,LR3_LH3.mp3,2,2,9,trial,59,16,trial,53
3nion908,10615496,LR3_MH2.mp3,2,3,11,trial,63,7,trial,40
3nion908,10615496,LR3_Oct.mp3,2,1,15,trial,59,12,trial,54
3nion908,10615496,MR1_HH3.mp3,3,4,5,trial,59,1,trial,50
3nion908,10615496,MR1_LH3.mp3,3,2,12,trial,72,15,trial,50
3nion908,10615496,MR1_MH2.mp3,3,3,16,trial,64,8,trial,44
3nion908,10615496,MR1_Oct.mp3,3,1,10,trial,72,14,trial,60
3rujns8n,10745513,HR1_HH3.mp3,4,4,12,trial,69,6,trial,44
3rujns8n,10745513,HR1_LH3.mp3,4,2,2,trial,66,16,trial,67
3rujns8n,10745513,HR1_MH2.mp3,4,3,7,trial,64,3,trial,58
3rujns8n,10745513,HR1_Oct.mp3,4,1,9,trial,71,15,trial,85
3rujns8n,10745513,Iso_HH3.mp3,1,4,16,trial,70,10,trial,65
3rujns8n,10745513,Iso_LH3.mp3,1,2,11,trial,60,8,trial,69
3rujns8n,10745513,Iso_MH2.mp3,1,3,5,trial,66,11,trial,69
3rujns8n,10745513,Iso_Oct.mp3,1,1,13,trial,73,13,trial,69
3rujns8n,10745513,LR3_HH3.mp3,2,4,8,trial,62,7,trial,74
3rujns8n,10745513,LR3_LH3.mp3,2,2,15,trial,71,12,trial,85
3rujns8n,10745513,LR3_MH2.mp3,2,3,4,trial,68,9,trial,67
3rujns8n,10745513,LR3_Oct.mp3,2,1,1,trial,70,4,trial,73
