Participant.Public.ID,Participant.Private.ID,Spreadsheet..audiofile,Rhythm,Harmony,Trial.Number.x,Display.x,groove,Trial.Number.y,Display.y,pleasure
22s25t0u,10693500,HR1_Oct.mp3,4,1,9,trial,0,4,trial,0
22s25t0u,10693500,Iso_HH3.mp3,1,4,10,trial,33,10,trial,39
22s25t0u,10693500,Iso_LH3.mp3,1,2,11,trial,29,7,trial,14
22s25t0u,10693500,Iso_MH2.mp3,1,3,8,trial,0,11,trial,0
22s25t0u,10693500,Iso_Oct.mp3,1,1,13,trial,24,2,trial,0
22s25t0u,10693500,LR3_HH3.mp3,2,4,7,trial,20,9,trial,33
22s25t0u,10693500,LR3_LH3.mp3,2,2,12,trial,19,5,trial,0
22s25t0u,10693500,LR3_MH2.mp3,2,3,1,trial,34,8,trial,35
22s25t0u,10693500,LR3_Oct.mp3,2,1,15,trial,0,12,trial,39
22s25t0u,10693500,MR1_HH3.mp3,3,4,4,trial,0,1,trial,60
22s25t0u,10693500,MR1_LH3.mp3,3,2,16,trial,70,16,trial,26
22s25t0u,10693500,MR1_MH2.mp3,3,3,5,trial,13,15,trial,0
22s25t0u,10693500,MR1_Oct.mp3,3,1,14,trial,52,6,trial,76
2lvhod2s,10665766,HR1_HH3.mp3,4,4,12,trial,19,5,trial,0
2lvhod2s,10665766,HR1_LH3.mp3,4,2,4,trial,0,12,trial,26
2lvhod2s,10665766,HR1_MH2.mp3,4,3,2,trial,0,15,trial,0
2lvhod2s,10665766,HR1_Oct.mp3,4,1,9,trial,36,11,trial,0
2lvhod2s,10665766,Iso_HH3.mp3,1,4,10,trial,58,10,trial,24
2lvhod2s,10665766,Iso_LH3.mp3,1,2,5,trial,61,6,trial,37
2lvhod2s,10665766,Iso_MH2.mp3,1,3,7,trial,33,16,trial,63
2lvhod2s,10665766,Iso_Oct.mp3,1,1,15,trial,69,13,trial,72
2lvhod2s,10665766,LR3_HH3.mp3,2,4,14,trial,59,7,trial,42
2lvhod2s,10665766,LR3_LH3.mp3,2,2,6,trial,76,9,trial,59
2lvhod2s,10665766,LR3_MH2.mp3,2,3,8,trial,65,2,trial,36
2lvhod2s,10665766,LR3_Oct.mp3,2,1,13,trial,64,8,trial,59
2lvhod2s,10665766,MR1_HH3.mp3,3,4,1,trial,65,14,trial,65
2lvhod2s,10665766,MR1_LH3.mp3,3,2,11,trial,81,1,trial,69
2lvhod2s,10665766,MR1_MH2.mp3,3,3,3,trial,78,3,trial,40
2lvhod2s,10665766,MR1_Oct.mp3,3,1,16,trial,69,4,trial,62
2qfqx5ns,10612173,HR1_HH3.mp3,4,4,1,trial,0,11,trial,0
2qfqx5ns,10612173,HR1_LH3.mp3,4,2,9,trial,23,3,trial,16
2qfqx5ns,10612173,HR1_MH2.mp3,4,3,10,trial,22,8,trial,2
2qfqx5ns,10612173,HR1_Oct.mp3,4,1,16,trial,8,9,trial,8
2qfqx5ns,10612173,Iso_HH3.mp3,1,4,12,trial,0,10,trial,0
2qfqx5ns,10612173,Iso_LH3.mp3,1,2,4,trial,12,4,trial,9
2qfqx5ns,10612173,Iso_MH2.mp3,1,3,6,trial,40,5,trial,6
2qfqx5ns,10612173,Iso_Oct.mp3,1,1,3,trial,12,1,trial,6
2qfqx5ns,10612173,LR3_HH3.mp3,2,4,5,trial,0,12,trial,3
2qfqx5ns,10612173,LR3_LH3.mp3,2,2,11,trial,39,6,trial,8
