"Participant.Public.ID","Participant.Private.ID","country","goldmsi1.quantised","goldmsi3.quantised","goldmsi4.quantised","goldmsi7.quantised","goldmsi10.quantised","goldmsi12.quantised","goldmsi14.quantised","goldmsi15.quantised","goldmsi17.quantised","goldmsi19.quantised","goldmsi23.quantised","goldmsi24.quantised","goldmsi25.quantised","goldmsi27.quantised","goldmsi29.quantised","goldmsi32.quantised","goldmsi33.quantised","goldmsi35.quantised","goldmsi36.quantised","goldmsi37.quantised","q01.quantised","q02.quantised","q03.quantised","q04.quantised","q05.quantised","q06.quantised","q07.quantised","q08.quantised","q09.quantised","q10.quantised","q11.quantised","q12.quantised","q13.quantised","q14.quantised","q15.quantised","q16.quantised","q17.quantised","q18.quantised","q19.quantised","q20.quantised"
"9gm2ndnm",10738951,"chinese",5,3,7,6,5,3,5,3,1,3,2,2,3,5,3,1,1,1,1,1,4,1,5,4,1,5,4,4,5,5,4,5,4,5,5,4,4,5,5,4
"9mzc19ng",10745134,"chinese",7,4,5,6,5,5,2,6,2,5,3,6,4,2,4,3,5,5,5,3,4,1,4,5,5,5,5,4,5,4,4,5,4,5,5,3,4,5,4,5
"9v70oj52",10620867,"chinese",6,5,5,4,6,4,5,5,4,5,5,5,4,5,5,2,3,5,4,5,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"ayzcye5a",10615381,"chinese",4,2,4,5,5,5,2,5,2,4,3,4,3,6,5,1,1,1,1,1,4,2,4,4,2,4,5,4,4,5,2,4,4,4,4,4,4,4,4,4
"ayzltz4j",10748544,"chinese",5,5,6,6,5,5,3,5,2,4,3,5,4,5,6,3,5,4,4,3,5,1,4,4,1,5,4,4,5,4,4,5,4,5,4,4,5,4,5,4
"b5o609nw",10621206,"chinese",6,2,3,3,4,4,3,5,2,6,2,2,5,7,5,3,5,6,2,2,4,2,4,5,2,4,4,4,5,5,4,4,4,4,5,4,4,5,4,4
"beh78otz",10775055,"chinese",7,5,5,7,7,7,1,7,1,7,1,7,1,4,6,3,5,3,6,4,5,1,5,5,2,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5
"bgrokfi7",10615319,"chinese",3,3,3,2,2,4,6,3,3,4,3,1,7,7,3,2,2,3,4,2,4,2,3,4,2,3,4,4,4,5,2,4,3,4,4,4,3,4,4,5
"byqbbnza",10615338,"chinese",5,4,4,2,3,4,4,3,3,3,5,3,5,7,5,2,6,2,2,2,4,2,4,5,2,4,5,5,5,4,4,4,3,4,4,5,5,3,4,3
"bzdu2xjb",10615337,"chinese",6,5,5,6,6,6,3,6,2,5,4,4,3,3,5,4,4,5,6,3,4,2,4,5,1,4,4,5,5,4,5,4,4,5,5,4,4,4,5,4
"c9nswen7",10610624,"chinese",5,4,4,5,7,6,3,5,1,5,1,3,1,3,6,2,4,2,3,2,5,1,3,4,1,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5
"cteqcliz",10615469,"chinese",2,1,5,2,1,2,3,2,1,3,5,2,2,5,6,1,1,1,1,1,4,2,4,5,1,4,5,5,4,5,5,4,5,4,4,5,4,5,4,5
"cwp6ixzm",10637106,"chinese",3,3,2,3,3,2,7,1,1,3,3,1,5,7,3,1,1,1,1,2,4,4,4,4,2,3,4,4,4,4,2,4,2,4,4,4,4,4,4,4
"d3fl2e9v",10756687,"chinese",5,6,6,6,5,5,2,5,5,6,2,5,5,5,5,2,5,3,4,2,4,2,4,5,2,5,4,4,5,4,4,4,4,4,5,4,4,2,4,5
"dh3skqt5",10615433,"chinese",3,2,3,2,1,2,3,2,5,2,6,2,1,5,2,1,1,1,1,1,4,1,4,5,1,4,5,4,4,5,5,4,5,4,5,4,4,5,5,4
"dksjjsxo",10615347,"chinese",7,4,4,7,7,7,1,7,1,4,1,7,1,1,7,7,1,1,7,1,4,4,4,4,1,5,4,5,5,5,5,4,1,5,5,4,3,5,5,5
"dv9y19yj",10615442,"chinese",4,3,3,4,4,5,6,5,3,3,5,4,5,7,4,1,1,1,1,1,4,2,4,5,2,4,4,5,4,4,4,5,4,4,4,5,4,4,4,4
