"Participant.Public.ID","Participant.Private.ID","Spreadsheet..audio","Trial.Number.x","Display.x","Response.x","Trial.Number.y","Display.y","Response.y"
"29v1q34h","10747783","Half_real_74_32bit.mp3","22","Trial",66,"10","Trial",58
"29v1q34h","10747783","real_08_32bit.mp3","4","Trial",94,"18","Trial",99
"29v1q34h","10747783","real_102_32bit.mp3","9","Trial",57,"9","Trial",67
"29v1q34h","10747783","real_12_32bit.mp3","17","Trial",57,"22","Trial",96
"29v1q34h","10747783","real_21_32bit.mp3","6","Trial",32,"16","Trial",80
"29v1q34h","10747783","real_24_32bit.mp3","13","Trial",31,"20","Trial",93
"29v1q34h","10747783","real_33_32bit.mp3","5","Trial",56,"5","Trial",61
"29v1q34h","10747783","real_35_32bit.mp3","8","Trial",63,"1","Trial",59
"29v1q34h","10747783","real_39_2_32bit.mp3","14","Trial",56,"13","Trial",56
"29v1q34h","10747783","real_42_2_32bit.mp3","3","Trial",60,"24","Trial",98
"29v1q34h","10747783","real_65_32bit.mp3","18","Trial",62,"12","Trial",46
"29v1q34h","10747783","real_70_32bit.mp3","12","Trial",68,"7","Trial",60
"29v1q34h","10747783","real_77_32bit.mp3","7","Trial",64,"4","Trial",59
"29v1q34h","10747783","real_82_32bit.mp3","21","Trial",63,"15","Trial",55
"29v1q34h","10747783","real_83_32bit.mp3","20","Trial",60,"2","Trial",64
"29v1q34h","10747783","real_91_32bit.mp3","11","Trial",67,"19","Trial",95
"29v1q34h","10747783","real_97_32bit.mp3","10","Trial",66,"11","Trial",56
"29v1q34h","10747783","real_98_32bit.mp3","24","Trial",44,"17","Trial",100
"2ffbv0lp","10757407","Half_real_37_32bit.mp3","11","Trial",86,"4","Trial",65
"2ffbv0lp","10757407","Half_real_50_32bit.mp3","10","Trial",75,"8","Trial",82
"2ffbv0lp","10757407","Half_real_53_32bit.mp3","5","Trial",68,"17","Trial",74
"2ffbv0lp","10757407","Half_real_54_32bit.mp3","24","Trial",97,"2","Trial",94
"2ffbv0lp","10757407","Half_real_58_32bit.mp3","22","Trial",79,"24","Trial",77
"2ffbv0lp","10757407","Half_real_73_32bit.mp3","9","Trial",93,"19","Trial",33
"2ffbv0lp","10757407","Half_real_74_32bit.mp3","19","Trial",89,"11","Trial",54
"2ffbv0lp","10757407","real_08_32bit.mp3","7","Trial",86,"22","Trial",68
"2ffbv0lp","10757407","real_102_32bit.mp3","12","Trial",67,"9","Trial",80
"2ffbv0lp","10757407","real_12_32bit.mp3","23","Trial",89,"3","Trial",78
"2ffbv0lp","10757407","real_21_32bit.mp3","13","Trial",90,"23","Trial",60
"2ffbv0lp","10757407","real_24_32bit.mp3","3","Trial",95,"20","Trial",15
"2ffbv0lp","10757407","real_33_32bit.mp3","18","Trial",76,"13","Trial",79
"2ffbv0lp","10757407","real_35_32bit.mp3","8","Trial",75,"12","Trial",96
"2ffbv0lp","10757407","real_39_2_32bit.mp3","6","Trial",76,"10","Trial",63
"2ffbv0lp","10757407","real_42_2_32bit.mp3","21","Trial",44,"5","Trial",45
"2ffbv0lp","10757407","real_65_32bit.mp3","17","Trial",81,"6","Trial",55
"2ffbv0lp","10757407","real_70_32bit.mp3","4","Trial",77,"15","Trial",83
"2ffbv0lp","10757407","real_77_32bit.mp3","2","Trial",80,"21","Trial",62
"2ffbv0lp","10757407","real_82_32bit.mp3","1","Trial",68,"14","Trial",71
"2ffbv0lp","10757407","real_83_32bit.mp3","16","Trial",82,"7","Trial",73
"2ffbv0lp","10757407","real_91_32bit.mp3","15","Trial",74,"18","Trial",62
"2ffbv0lp","10757407","real_97_32bit.mp3","20","Trial",62,"1","Trial",73
"2ffbv0lp","10757407","real_98_32bit.mp3","14","Trial",78,"16","Trial",68
"2k2t1xaw","10755906","Half_real_37_32bit.mp3","3","Trial",74,"22","Trial",67
"2k2t1xaw","10755906","Half_real_50_32bit.mp3","16","Trial",64,"1","Trial",70
"2k2t1xaw","10755906","Half_real_53_32bit.mp3","9","Trial",64,"15","Trial",61
"2k2t1xaw","10755906","Half_real_54_32bit.mp3","13","Trial",36,"2","Trial",69
"2k2t1xaw","10755906","Half_real_58_32bit.mp3","22","Trial",62,"20","Trial",35
"2k2t1xaw","10755906","Half_real_73_32bit.mp3","20","Trial",61,"9","Trial",35
"2k2t1xaw","10755906","Half_real_74_32bit.mp3","10","Trial",69,"24","Trial",73
"2k2t1xaw","10755906","real_08_32bit.mp3","15","Trial",77,"21","Trial",34
"2k2t1xaw","10755906","real_102_32bit.mp3","19","Trial",38,"23","Trial",77
"2k2t1xaw","10755906","real_12_32bit.mp3","6","Trial",61,"10","Trial",64
"2k2t1xaw","10755906","real_21_32bit.mp3","2","Trial",65,"5","Trial",67
"2k2t1xaw","10755906","real_24_32bit.mp3","23","Trial",67,"11","Trial",62
"2k2t1xaw","10755906","real_33_32bit.mp3","1","Trial",74,"8","Trial",68
"2k2t1xaw","10755906","real_35_32bit.mp3","24","Trial",33,"18","Trial",67
"2k2t1xaw","10755906","real_39_2_32bit.mp3","12","Trial",63,"14","Trial",66
"2k2t1xaw","10755906","real_42_2_32bit.mp3","7","Trial",100,"19","Trial",63
"2k2t1xaw","10755906","real_65_32bit.mp3","8","Trial",66,"6","Trial",69
"2k2t1xaw","10755906","real_70_32bit.mp3","17","Trial",70,"17","Trial",78
"2k2t1xaw","10755906","real_77_32bit.mp3","14","Trial",76,"3","Trial",72
"2k2t1xaw","10755906","real_82_32bit.mp3","5","Trial",62,"16","Trial",63
"2k2t1xaw","10755906","real_83_32bit.mp3","21","Trial",64,"4","Trial",71
"2k2t1xaw","10755906","real_91_32bit.mp3","4","Trial",73,"7","Trial",77
"2k2t1xaw","10755906","real_97_32bit.mp3","18","Trial",65,"13","Trial",100
"2k2t1xaw","10755906","real_98_32bit.mp3","11","Trial",33,"12","Trial",100
"2l0uqiz5","10679119","Half_real_37_32bit.mp3","10","Trial",29,"23","Trial",29
"2l0uqiz5","10679119","Half_real_50_32bit.mp3","9","Trial",68,"18","Trial",31
"2l0uqiz5","10679119","Half_real_53_32bit.mp3","23","Trial",72,"13","Trial",30
"2l0uqiz5","10679119","Half_real_54_32bit.mp3","2","Trial",66,"22","Trial",67
"2l0uqiz5","10679119","Half_real_58_32bit.mp3","19","Trial",57,"8","Trial",36
"2l0uqiz5","10679119","Half_real_73_32bit.mp3","11","Trial",28,"5","Trial",27
"2l0uqiz5","10679119","Half_real_74_32bit.mp3","15","Trial",36,"24","Trial",25
"2l0uqiz5","10679119","real_08_32bit.mp3","4","Trial",65,"12","Trial",60
"2l0uqiz5","10679119","real_102_32bit.mp3","16","Trial",20,"15","Trial",39
"2l0uqiz5","10679119","real_12_32bit.mp3","12","Trial",21,"2","Trial",67
"2l0uqiz5","10679119","real_21_32bit.mp3","21","Trial",72,"19","Trial",56
"2l0uqiz5","10679119","real_24_32bit.mp3","18","Trial",30,"7","Trial",63
"2l0uqiz5","10679119","real_33_32bit.mp3","22","Trial",27,"9","Trial",65
"2l0uqiz5","10679119","real_35_32bit.mp3","3","Trial",58,"10","Trial",35
"2l0uqiz5","10679119","real_39_2_32bit.mp3","13","Trial",72,"21","Trial",65
"2l0uqiz5","10679119","real_42_2_32bit.mp3","5","Trial",44,"3","Trial",59
